X,Y,Z,LABEL 0 OR 1
-0.451,5.756,7.09,0
-0.294,5.913,7.482,0
-0.215,6.227,7.718,0
-0.294,6.384,7.953,0
-0.137,6.462,8.031,0
0.098,6.384,7.875,0
0.254,6.384,7.718,0
0.098,6.541,7.639,0
0.019,6.462,7.639,0
0.098,6.148,7.875,0
0.411,5.835,8.11,0
0.647,5.835,8.188,0
0.49,5.992,8.031,0
0.098,5.756,7.796,0
-0.215,5.521,7.639,0
-0.215,5.364,7.561,0
-0.215,5.442,7.325,0
-0.215,5.599,7.325,0
-0.215,5.599,7.404,0
-0.529,5.678,7.561,0
-0.843,5.599,7.875,0
-0.843,5.285,8.188,0
-0.529,4.972,8.424,0
-0.294,4.893,8.424,0
-0.372,5.05,8.188,0
-0.608,5.285,7.796,0
-1,5.207,7.561,0
-1,4.815,7.404,0
-0.843,4.501,7.247,0
-0.608,4.501,7.168,0
-0.686,4.815,7.168,0
-1,5.05,7.482,0
-1.235,5.364,7.796,0
-1.235,5.285,8.424,1
-1,5.05,9.13,1
-0.608,4.815,9.757,0
-0.451,4.736,9.993,0
-0.294,5.05,10.385,1
-0.843,5.442,10.228,0
-1.157,5.521,9.836,1
-0.686,5.364,9.287,0
-0.608,5.05,8.894,0
-0.843,5.05,8.424,0
-0.843,5.05,8.424,0
-0.764,5.129,8.267,0
-0.529,5.129,8.424,0
-0.372,4.893,8.816,0
-0.137,4.815,9.13,0
-0.058,4.972,8.894,0
0.176,5.05,8.502,0
0.254,5.05,8.267,0
0.254,5.05,8.188,0
0.019,4.972,8.188,0
-0.215,4.893,8.188,0
-0.215,4.736,8.267,0
-0.137,4.736,8.345,0
-0.058,4.815,8.424,0
0.019,4.972,8.424,0
-0.137,5.129,8.424,0
-0.451,5.129,8.502,0
-0.686,5.129,8.581,0
-0.843,5.05,8.659,0
-0.843,4.972,8.738,0
-0.686,4.815,8.816,0
-0.451,4.736,8.659,0
-0.372,4.658,8.502,0
-0.372,4.501,8.345,0
-0.451,4.736,8.267,1
-0.764,4.893,7.718,0
-0.764,4.972,7.325,0
-0.608,5.05,6.933,0
-0.608,5.364,6.619,0
-0.608,5.599,6.541,0
-0.608,5.913,6.698,0
-0.686,6.07,6.933,0
-0.608,6.148,7.404,0
-0.294,6.07,7.953,1
0.098,5.992,8.816,0
0.333,5.913,9.444,0
0.49,5.835,9.836,0
0.49,5.521,9.993,0
0.333,5.05,9.993,0
0.019,4.815,9.757,0
-0.294,4.658,9.287,0
-0.294,4.422,8.894,0
-0.294,4.187,8.581,0
-0.294,4.344,8.267,0
-0.451,4.736,7.875,0
