X,Y,Z,Target 
-1.073,1.276,9.849,0
-1.112,1.218,9.811,0
-0.939,1.141,9.677,0
-0.843,1.103,9.658,0
-0.767,1.103,9.638,0
-0.709,1.065,9.524,0
-0.824,1.122,9.524,0
-0.882,1.141,9.619,0
-0.843,1.141,9.6,0
-0.767,1.141,9.524,0
-0.633,1.18,9.466,0
-0.594,1.161,9.428,0
-0.594,1.161,9.409,0
-0.728,1.218,9.619,0
-0.728,1.199,9.677,0
-0.748,1.141,9.658,0
-0.709,1.084,9.677,0
-0.594,0.931,9.658,0
-0.575,0.892,9.6,0
-0.614,0.816,9.313,0
-0.671,0.797,9.179,0
-0.805,0.854,9.332,0
-0.882,0.931,9.581,0
-0.901,1.027,9.926,0
-0.92,1.084,10.079,0
-0.977,1.084,10.079,0
-1.073,1.141,10.041,0
-1.092,1.141,9.964,0
-1.188,1.276,9.907,0
-1.207,1.371,9.945,0
-1.246,1.467,9.753,0
-1.207,1.467,9.562,0
-1.169,1.333,9.313,0
-1.188,1.295,9.198,0
-1.226,1.218,9.102,0
-1.188,1.276,9.198,0
-1.418,1.314,9.313,0
-1.418,1.276,9.619,0
-1.399,1.218,9.753,0
-1.246,1.103,9.868,0
-1.131,1.027,9.868,0
-0.977,0.912,9.638,0
-0.92,0.931,9.428,0
-0.92,0.758,9.275,0
-1.054,1.007,9.524,0
-1.112,1.122,9.753,0
-1.226,0.969,9.715,0
-1.131,0.892,9.773,0
-0.958,0.969,9.638,0
-0.977,1.046,9.524,0
-0.977,1.007,9.428,0
-1.035,1.065,9.524,0
-1.035,1.18,9.83,0
-0.997,1.18,9.887,0
-0.939,1.122,9.753,0
-0.939,0.988,9.696,0
-0.939,0.931,9.543,0
-0.977,0.969,9.351,0
-1.016,0.988,9.332,0
-1.035,1.027,9.313,0
-1.035,1.161,9.466,0
-0.958,1.218,9.6,0
-0.92,1.256,9.524,0
-0.843,1.276,9.504,0
-0.882,1.295,9.504,0
-0.863,1.352,9.466,0
-0.997,1.371,9.562,0
-1.073,1.371,9.638,0
-1.092,1.352,9.696,0
-1.15,1.218,9.696,0
-1.112,1.027,9.677,0
-1.131,0.95,9.638,0
-1.226,0.873,9.524,0
-1.303,0.835,9.543,0
-1.418,0.931,9.581,0
-1.399,1.007,9.696,0
-1.246,1.103,9.696,0
-1.188,1.103,9.715,0
-1.188,1.122,9.677,0
-1.092,1.161,9.6,0
-1.054,1.218,9.447,0
-1.15,1.237,9.409,0
-1.15,1.295,9.428,0
-0.997,1.256,9.313,0
-0.977,1.218,9.198,0
-1.035,1.161,9.045,0
-1.035,1.141,9.026,0
-1.035,1.046,8.968,0
-1.035,1.084,9.026,0
-1.112,1.122,9.294,0
-1.092,1.199,9.409,0
-0.997,1.141,9.466,0
-0.977,1.122,9.619,0
-0.958,1.103,9.715,0
-0.997,1.027,9.811,0
-0.977,1.046,9.868,0
-1.15,1.046,9.868,0
-1.073,1.122,10.041,0
-1.131,1.141,10.136,0
-1.131,1.122,10.175,0
-1.112,1.103,10.117,0
-1.092,1.065,9.964,0
-1.092,1.065,9.849,0
-1.073,1.103,9.715,0
-1.169,1.161,9.619,0
-1.226,1.18,9.562,0
-1.303,1.199,9.562,0
-1.284,1.18,9.619,0
-1.361,1.161,9.734,0
-1.341,1.122,9.792,0
-1.418,1.007,9.677,0
-1.437,1.007,9.619,0
-1.533,1.046,9.6,0
-1.552,1.084,9.562,0
-1.475,1.103,9.313,0
-1.495,1.122,9.179,0
-1.571,1.161,9.14,0
-1.552,1.199,9.14,0
-1.552,1.256,9.255,0
-1.533,1.276,9.236,0
-1.59,1.237,9.236,0
-1.571,1.161,9.313,0
-1.495,0.988,9.198,0
-1.399,0.892,9.083,0
-1.361,0.797,9.064,0
-1.322,0.778,9.064,0
-1.322,0.72,9.16,0
-1.38,0.778,9.16,0
-1.38,0.816,9.294,0
-1.188,0.854,9.677,0
-1.188,1.007,10.098,0
-1.226,1.122,10.328,0
-1.207,1.237,10.481,0
-1.207,1.352,10.424,0
-1.15,1.448,10.251,0
-1.092,1.544,10.098,0
-1.131,1.62,9.887,0
-1.054,1.659,9.677,0
-1.054,1.582,9.351,0
-1.112,1.486,8.987,0
-1.054,1.486,8.872,0
-1.016,1.486,8.777,0
-1.169,1.467,8.834,0
-1.054,1.582,8.872,0
-1.207,1.429,9.102,0
-1.265,1.352,9.313,0
-1.361,1.276,9.581,0
-1.303,1.295,9.638,0
-1.341,1.161,9.887,0
-1.418,1.218,10.022,0
-1.456,1.199,9.945,0
-1.341,1.103,9.887,0
-1.246,1.065,9.792,0
-1.246,0.969,9.543,0
-1.207,0.816,9.313,0
-1.188,0.72,9.14,0
-1.246,0.663,9.102,0
-1.284,0.663,9.255,0
-1.341,0.758,9.524,0
-1.246,0.778,9.696,0
-1.188,0.778,9.792,0
-1.131,0.797,9.849,0
-1.054,0.892,9.964,0
-1.073,0.95,9.983,0
-1.035,1.007,9.849,0
-1.073,1.065,9.83,0
-0.997,1.161,9.753,0
-0.843,1.18,9.543,0
-0.824,1.199,9.409,0
-0.805,1.18,9.313,0
-0.786,1.218,9.275,0
-0.805,1.199,9.198,0
-0.843,1.199,9.275,0
-0.997,1.218,9.37,0
-0.958,1.218,9.466,0
-0.92,1.276,9.562,0
-0.997,1.295,9.6,0
-1.054,1.276,9.696,0
-1.035,1.276,9.753,0
-1.092,1.295,9.696,0
-1.246,1.256,9.715,0
-1.38,1.256,9.811,0
-1.38,1.218,9.734,0
-1.399,1.141,9.753,0
-1.514,1.007,9.658,0
-1.495,0.873,9.504,0
-1.533,0.797,9.332,0
-1.552,0.72,9.275,0
-1.705,0.701,9.332,0
-1.782,0.701,9.409,0
-1.744,0.682,9.524,0
-1.705,0.643,9.6,0
-1.667,0.605,9.638,0
-1.609,0.624,9.715,0
-1.629,0.663,9.753,0
-1.609,0.854,9.907,0
-1.629,0.892,10.041,0
-1.495,1.007,10.117,0
-1.418,1.027,9.983,0
-1.341,1.027,9.868,0
-1.303,1.084,9.753,0
-1.265,1.103,9.562,0
-1.226,1.218,9.466,0
-1.169,1.256,9.466,0
-1.073,1.295,9.409,0
-0.939,1.199,9.294,0
-0.805,1.199,9.14,0
-0.824,1.18,9.14,0
-0.805,1.122,9.313,0
-0.805,1.122,9.313,0
-0.977,1.122,9.562,0
-1.035,1.103,9.619,0
-1.054,1.103,9.811,0
-1.016,1.161,9.753,0
-1.112,1.237,9.753,0
-1.188,1.237,9.715,0
-1.131,1.276,9.753,0
-1.092,1.39,9.83,0
-1.092,1.39,10.06,0
-1.035,1.39,10.136,0
-0.882,1.237,10.06,0
-0.901,1.141,9.849,0
-0.92,1.065,9.658,0
-1.035,0.95,9.275,0
-1.054,0.931,9.083,0
-1.112,0.892,8.872,0
-1.169,0.988,9.121,0
-1.169,1.084,9.466,0
-1.169,1.141,9.811,0
-1.265,1.218,9.983,0
-1.322,1.199,10.041,0
-1.284,1.256,10.022,0
-1.322,1.276,9.868,0
-1.399,1.295,9.715,0
-1.456,1.371,9.524,0
-1.418,1.429,9.466,0
-1.284,1.486,9.332,0
-1.284,1.486,9.236,0
-1.303,1.41,9.255,0
-1.303,1.314,9.217,0
-1.303,1.256,9.179,0
-1.38,1.237,9.179,0
-1.38,1.218,9.294,0
-1.265,1.199,9.485,0
-1.246,1.18,9.447,0
-1.15,1.122,9.351,0
-1.188,1.084,9.409,0
-1.188,1.084,9.466,0
-1.169,1.084,9.524,0
-1.188,1.161,9.773,0
-1.169,1.276,9.945,0
-1.15,1.314,10.079,0
-1.035,1.371,10.098,0
-0.997,1.39,10.098,0
-0.939,1.352,9.964,0
-0.901,1.352,9.792,0
-0.882,1.314,9.6,0
-0.882,1.352,9.389,0
-0.882,1.39,9.351,0
-0.824,1.467,9.37,0
-0.843,1.525,9.389,0
-0.92,1.544,9.428,0
-0.958,1.544,9.466,0
-0.958,1.505,9.524,0
-0.997,1.486,9.543,0
-1.15,1.525,9.6,0
-1.265,1.544,9.638,0
-1.38,1.601,9.581,0
-1.38,1.563,9.447,0
-1.418,1.563,9.447,0
-1.475,1.525,9.447,0
