X,Y,Z,"Label 0,1"
-0.6646118,3.466217,7.5972595,0
-1.0141602,3.5883179,6.8981476,0
-1.0548553,3.6218414,6.797592,0
-0.8513489,3.8229523,6.938843,1
0.10392761,3.8325348,8.911667,0
0.10392761,3.8325348,8.911667,0
0.34095764,3.842102,9.388123,0
0.5085602,3.8085938,10.039337,0
0.551651,3.8301392,10.147079,0
0.51812744,3.8899841,10.278763,0
0.42236328,3.866043,10.293121,0
0.22125244,3.8349304,9.991455,0
0.003372192,3.9259033,9.61557,0
-0.10675049,4.0527954,9.4767,0
-0.22886658,4.09111,9.538956,0
-0.16421509,3.9977264,9.665848,0
-0.1522522,3.9139252,9.644302,0
-0.31983948,3.8301392,9.675415,0
-0.6478424,3.5500183,9.893295,0
-0.8920593,3.3752441,10.075256,0
-0.7340393,3.3584747,9.857376,0
-0.40364075,3.4015808,9.404877,0
-0.14985657,3.3919983,9.076874,0
0.010559082,3.4135437,8.4831085,0
0.08477783,3.6194458,7.5924683,0
-0.11393738,3.763092,7.3961487,0
-0.3222351,3.8516846,7.3530426,0
-0.4850464,4.03125,7.5589447,0
-0.35575867,4.2156067,8.188629,0
-0.0947876,4.3329163,8.880539,0
0.1111145,4.3065796,9.914841,0
0.060836792,4.2586975,11.059265,0
-0.013381958,4.2826385,11.612335,0
-0.08760071,4.232361,11.89006,0
-0.11633301,4.0049133,12.062439,0
-0.14266968,3.9594269,11.973862,0
-0.21688843,3.8828125,10.776749,0
-0.16900635,3.849289,10.068069,0
-0.16181946,3.6218414,9.323471,0
-0.26237488,3.4853668,8.478317,0
-0.3988495,3.528473,7.4009247,0
-0.413208,3.655365,6.876602,0
-0.4563141,3.7654877,6.464798,0
-0.46588135,3.7415466,6.342697,0
-0.46588135,3.7415466,6.342697,0
-0.40603638,3.4135437,6.809555,0
-0.5209503,2.9849854,6.780838,0
-0.4203949,2.8820343,6.5533752,0
-0.2144928,2.9777985,6.160736,0
0.16618347,3.2914429,5.7752686,0
0.3744812,3.5236816,5.6842804,0
0.57559204,3.7080383,6.093689,0
0.6809387,3.8516846,6.792801,0
0.6378479,4.146164,7.75766,0
0.67614746,4.522064,8.909271,1
0.75276184,5.1996155,10.345795,1
0.7790985,5.9059143,12.055252,0
0.76712036,6.083084,13.479813,1
0.09196472,5.9585876,15.431076,0
-0.2791443,5.604233,16.530014,1
-0.8537445,4.735138,17.214767,0
-1.0859833,4.079132,16.917877,1
-1.0452881,3.4997406,16.039215,1
-0.8896637,2.9754028,13.743164,1
-0.9303589,2.822174,12.170181,1
-0.918396,2.6282501,10.041733,1
-0.7029114,2.5731812,7.819916,1
-0.39405823,2.6497955,6.1511536,1
0.11830139,2.9418793,4.8941956,0
0.33139038,3.04245,4.089752,0
0.21166992,3.0256805,4.017929,0
0.07998657,2.9227295,4.2812805,0
0.2308197,2.8939972,4.738571,0
0.44869995,2.9610443,5.461624,0
0.7288208,2.8987885,6.287628,0
0.79345703,2.908371,6.8981476,0
1.1071014,3.0304718,7.654709,0
1.274704,3.169342,8.138336,0
1.3632812,3.2339783,9.10321,0
1.2531433,3.253128,10.137497,0
1.1286469,3.2938385,11.27475,0
0.63305664,3.0448303,12.577194,0
0.26913452,2.8030243,13.324188,0
0.06323242,2.5420532,13.80542,0
0.034500122,2.4175568,13.893997,0
-0.03492737,2.2020721,13.431931,0
-0.2935028,1.943512,12.653809,0
-0.5760193,1.833374,11.411224,0
-0.6909485,1.9602661,10.103989,0
-0.69332886,2.2499695,8.976318,0
-0.70770264,2.4486847,7.970749,0
-0.6981201,2.695282,7.039398,0
-0.6550293,2.9754028,6.2971954,0
-0.55207825,3.4207306,5.7872314,0
-0.49221802,3.9115448,5.5286713,0
-0.48742676,4.419113,5.5813293,0
-0.4203949,4.8309174,5.911743,0
-0.4203949,5.1277924,6.6850586,0
-0.33659363,4.9027405,8.076096,1
-0.26237488,4.4598083,9.73288,0
-0.008590698,4.0767365,11.059265,0
0.13265991,3.7295837,12.0720215,0
0.000977,3.260315,12.596344,0
-0.25997925,2.8173828,12.119904,0
-0.28871155,2.7551422,11.578812,0
-0.08999634,2.6426086,11.023361,0
0.14224243,2.5181122,10.451141,0
